"filename", "language", "YAML", "Markdown", "Swift", "C++", "JSON", "Dart", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\main_page\bloc\main_bloc.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 3, 14
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\main_page\bloc\main_event.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\main_page\bloc\main_state.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\main_page\main_screen.dart", "Dart", 0, 0, 0, 0, 0, 260, 0, 0, 0, 11, 10, 281
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\notifications_page\bloc\notifications_bloc.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 3, 14
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\notifications_page\bloc\notifications_event.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\notifications_page\bloc\notifications_state.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\notifications_page\notifications_screen.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\permissions\bloc\permission_bloc.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 4, 29
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\permissions\bloc\permission_event.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\permissions\bloc\permission_state.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\profile_page\bloc\bloc_bloc.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 3, 14
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\profile_page\bloc\bloc_event.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\profile_page\bloc\bloc_state.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\profile_page\profile_page.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 1, 4, 46
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\bloc\search_bloc.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 3, 14
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\bloc\search_event.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\bloc\search_state.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_result_screen.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 7, 43
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_screen.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 8, 50
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_widgets.dart", "Dart", 0, 0, 0, 0, 0, 189, 0, 0, 0, 3, 12, 204
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\select_post_image_page\bloc\select_post_image_bloc.dart", "Dart", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 6, 32
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\select_post_image_page\bloc\select_post_image_event.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\select_post_image_page\bloc\select_post_image_state.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 8, 23
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\select_post_image_page\select_post_image.dart", "Dart", 0, 0, 0, 0, 0, 196, 0, 0, 0, 6, 11, 213
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\settings_page\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\splahScreen_page\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 5, 32
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 101, 0, 0, 0, 11, 6, 118
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\styles\styles.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 9, 84
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\transitions\page_transisition.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 8, 48
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\constants.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 6, 7, 62
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\secure_storage.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 7, 8, 65
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\utils.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\pubspec.yaml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 55
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"Total", "-", 47, 13, 19, 1, 166, 3296, 176, 90, 8, 269, 524, 4609
